programming,mathematics,communication,problemSolving,creativity,leadership,analyticalThinking,teamwork,dataAnalysis,networking,logical_aptitude,verbal_aptitude,quantitative_aptitude,career
6,5,5,7,4,5,7,7,6,9,84,72,75,Cloud Engineer
8,5,5,7,4,7,7,5,5,9,83,64,72,Cloud Engineer
9,9,5,7,6,3,8,6,9,3,97,58,89,ML Engineer
4,7,7,8,6,8,9,6,7,5,78,86,67,Business Analyst
8,3,5,8,4,4,7,6,5,8,83,70,72,DevOps Engineer
6,9,6,7,5,3,9,5,9,3,88,62,89,Data Scientist
4,4,10,8,9,5,7,6,5,3,67,82,57,UX/UI Designer
5,5,8,10,9,9,9,8,6,6,74,97,74,Product Manager
10,7,4,9,6,4,7,6,4,5,82,69,75,Software Developer
10,3,5,8,4,4,8,7,4,8,83,61,77,DevOps Engineer
4,5,9,7,8,9,9,9,6,5,83,92,75,Product Manager
7,6,5,6,4,5,8,6,3,8,84,70,76,Cloud Engineer
9,5,4,9,3,6,8,7,3,8,84,65,75,DevOps Engineer
5,7,8,7,7,7,7,8,7,4,74,78,74,Business Analyst
7,5,5,8,5,5,7,5,5,8,82,69,72,Cloud Engineer
10,5,6,8,5,6,8,8,4,8,76,65,69,DevOps Engineer
6,7,8,7,6,8,9,6,7,4,71,79,77,Business Analyst
7,5,6,6,4,5,9,6,4,9,87,58,69,Cloud Engineer
8,4,5,8,5,7,8,8,6,8,83,58,79,DevOps Engineer
5,7,8,9,6,9,8,8,7,4,79,91,74,Business Analyst
8,7,5,7,5,5,8,7,5,8,86,63,72,Cloud Engineer
9,9,5,8,5,4,10,7,9,3,94,54,88,ML Engineer
3,5,6,8,4,5,7,6,4,10,81,67,81,Network Engineer
5,6,7,9,7,5,8,7,5,9,77,66,72,Cybersecurity Analyst
3,5,10,8,7,10,9,9,7,5,73,88,72,Product Manager
6,6,6,9,7,6,8,7,6,9,85,62,80,Cybersecurity Analyst
9,7,6,8,5,4,7,7,3,4,87,73,80,Software Developer
4,6,7,7,2,5,8,7,4,9,83,69,66,Network Engineer
6,7,7,9,4,5,8,6,6,9,77,63,78,Network Engineer
9,6,6,9,5,4,7,7,4,3,91,63,78,Software Developer
7,5,6,8,6,5,8,7,6,9,86,73,74,Cybersecurity Analyst
8,4,6,9,5,5,8,7,6,10,81,58,69,DevOps Engineer
9,7,6,8,5,5,8,8,4,5,85,65,80,Software Developer
5,5,9,9,7,10,8,8,6,6,74,94,72,Product Manager
7,4,7,9,8,5,8,8,4,9,85,72,65,Cybersecurity Analyst
5,5,8,10,8,9,9,8,5,4,83,92,70,Product Manager
9,6,6,10,4,6,7,7,5,7,91,72,74,DevOps Engineer
5,4,9,7,10,4,7,9,4,3,61,90,48,UX/UI Designer
3,4,8,7,9,5,5,8,4,3,55,87,52,UX/UI Designer
8,7,5,9,5,5,7,6,4,5,92,66,84,Software Developer
10,9,5,8,6,3,8,6,9,2,89,57,93,ML Engineer
5,5,7,9,6,7,9,6,6,9,82,69,76,Cybersecurity Analyst
10,4,6,8,6,7,8,7,4,9,75,57,74,DevOps Engineer
3,6,9,8,8,8,8,10,7,5,79,92,68,Product Manager
5,5,8,7,9,9,8,9,7,6,78,82,82,Product Manager
